Time[s], 通道 0, 通道 1
0.00123669, 1, 0
0.00123943, 0, 0
0.00124002, 0, 1
0.00124277, 0, 0
0.00124337, 1, 0
0.00124611, 0, 0
0.00124670, 0, 1
0.00124945, 0, 0
0.00125005, 1, 0
0.00125279, 0, 0
0.00125338, 0, 1
0.00125613, 0, 0
0.00125673, 1, 0
0.00125946, 0, 0
0.00126006, 0, 1
0.00126281, 0, 0
0.00126341, 1, 0
0.00126614, 0, 0
0.00126674, 0, 1
0.00126949, 0, 0
0.00127009, 1, 0
0.00127282, 0, 0
0.00127342, 0, 1
0.00127617, 0, 0
0.00127677, 1, 0
0.00127950, 0, 0
0.00128010, 0, 1
0.00128285, 0, 0
0.00128345, 1, 0
0.00128618, 0, 0
0.00128678, 0, 1
0.00128953, 0, 0
0.00129013, 1, 0
0.00129286, 0, 0
0.00129346, 0, 1
0.00129621, 0, 0
0.00129681, 1, 0
0.00129954, 0, 0
0.00130014, 0, 1
0.00130289, 0, 0
0.00130349, 1, 0
0.00130622, 0, 0
0.00130682, 0, 1
0.00130957, 0, 0
0.00131017, 1, 0
0.00131290, 0, 0
0.00131350, 0, 1
0.00131625, 0, 0
0.00131685, 1, 0
0.00131958, 0, 0
0.00132018, 0, 1
0.00132293, 0, 0
0.00132353, 1, 0
0.00132626, 0, 0
0.00132686, 0, 1
0.00132961, 0, 0
0.00133021, 1, 0
0.00133294, 0, 0
0.00133354, 0, 1
0.00133629, 0, 0
0.00133689, 1, 0
0.00133962, 0, 0
0.00134022, 0, 1
0.00134297, 0, 0
0.00134356, 1, 0
0.00134630, 0, 0
0.00134690, 0, 1
0.00134964, 0, 0
0.00135024, 1, 0
0.00135298, 0, 0
0.00135358, 0, 1
0.00135632, 0, 0
0.00135692, 1, 0
0.00135966, 0, 0
0.00136025, 0, 1
0.00136300, 0, 0
0.00136360, 1, 0
0.00136634, 0, 0
0.00136693, 0, 1
0.00136968, 0, 0
0.00137028, 1, 0
0.00137302, 0, 0
0.00137361, 0, 1
0.00137636, 0, 0
0.00137696, 1, 0
0.00137970, 0, 0
0.00138029, 0, 1
0.00138304, 0, 0
0.00138364, 1, 0
0.00138638, 0, 0
0.00138697, 0, 1
0.00138972, 0, 0
0.00139032, 1, 0
0.00139306, 0, 0
0.00139365, 0, 1
0.00139640, 0, 0
0.00139700, 1, 0
0.00139974, 0, 0
0.00140033, 0, 1
0.00140308, 0, 0
0.00140368, 1, 0
0.00140642, 0, 0
0.00140701, 0, 1
0.00140976, 0, 0
0.00141036, 1, 0
0.00141310, 0, 0
0.00141369, 0, 1
0.00141644, 0, 0
0.00141704, 1, 0
0.00141978, 0, 0
0.00142037, 0, 1
0.00142312, 0, 0
0.00142372, 1, 0
0.00142646, 0, 0
0.00142705, 0, 1
0.00142980, 0, 0
0.00143040, 1, 0
0.00143313, 0, 0
0.00143373, 0, 1
0.00143648, 0, 0
0.00143708, 1, 0
0.00143981, 0, 0
0.00144041, 0, 1
0.00144316, 0, 0
0.00144376, 1, 0
0.00144649, 0, 0
0.00144709, 0, 1
0.00144984, 0, 0
0.00145044, 1, 0
0.00145317, 0, 0
0.00145377, 0, 1
0.00145652, 0, 0
0.00145712, 1, 0
0.00145985, 0, 0
0.00146045, 0, 1
0.00146320, 0, 0
0.00146380, 1, 0
0.00146653, 0, 0
0.00146713, 0, 1
0.00146988, 0, 0
0.00147048, 1, 0
0.00147321, 0, 0
0.00147381, 0, 1
0.00147656, 0, 0
0.00147716, 1, 0
0.00147989, 0, 0
0.00148049, 0, 1
